Order ID,Customer ID,Product Name,Category,Quantity,Unit Price,Total Amount,Order Date,Payment Mode,Delivery Status,City
ORD00028,CUST0288,Perfume,Beauty,4,1121,4484,2025-04-02,Debit Card,Delivered,Latur
ORD00029,CUST0264,Jeans,Fashion,1,981,981,2025-04-11,Net Banking,Delivered,Aurangabad
ORD00030,CUST0158,Perfume,Beauty,4,519,2076,2025-04-16,Debit Card,Shipped,Nashik
ORD00031,CUST0058,Moisturizer,Beauty,2,1300,2600,2025-05-09,Credit Card,Delivered,Mumbai
ORD00032,CUST0278,USB Cable,Electronics,5,5492,27460,2025-03-10,Net Banking,Delivered,Chennai
ORD00033,CUST0204,Storage Box,Home & Kitchen,1,5438,5438,2025-08-26,Credit Card,Shipped,Aurangabad
ORD00034,CUST0004,Face Wash,Beauty,5,1781,8905,2025-11-21,Credit Card,Delivered,Nagpur
ORD00035,CUST0268,Moisturizer,Beauty,3,1106,3318,2025-04-11,Debit Card,Shipped,Bengaluru
ORD00036,CUST0242,Sneakers,Fashion,4,2744,10976,2025-09-10,Debit Card,Delivered,Chennai
ORD00037,CUST0114,Cricket Bat,Sports,2,916,1832,2025-07-15,Net Banking,Processing,Bengaluru
ORD00038,CUST0227,Face Wash,Beauty,5,2042,10210,2025-07-11,UPI,Shipped,Nagpur
ORD00039,CUST0286,T-Shirt,Fashion,5,1848,9240,2025-12-27,UPI,Delivered,Nagpur
ORD00040,CUST0284,USB Cable,Electronics,3,7686,23058,2025-09-22,Cash on Delivery,Delivered,Aurangabad
ORD00041,CUST0144,Football,Sports,4,3936,15744,2025-05-31,UPI,Delivered,Aurangabad
ORD00042,CUST0230,Jeans,Fashion,2,1538,3076,2025-09-10,Net Banking,Delivered,Delhi
ORD00043,CUST0145,Sneakers,Fashion,2,1840,3680,2025-05-16,UPI,Delivered,Nagpur
ORD00044,CUST0019,Shampoo,Beauty,5,240,1200,2025-12-12,Debit Card,Delivered,Mumbai
ORD00045,CUST0190,Moisturizer,Beauty,4,1044,4176,2025-01-01,UPI,Delivered,Pune
ORD00046,CUST0149,Wireless Headphones,Electronics,5,633,3165,2025-10-30,Net Banking,Cancelled,Aurangabad
ORD00047,CUST0054,Shampoo,Beauty,3,1699,5097,2025-01-01,Debit Card,Processing,Delhi
ORD00048,CUST0008,Water Bottle,Home & Kitchen,2,5313,10626,2025-06-05,Credit Card,Delivered,Chennai
ORD00049,CUST0201,Jacket,Fashion,2,3079,6158,2025-05-25,UPI,Delivered,Nashik
ORD00050,CUST0286,Cricket Bat,Sports,3,309,927,2025-11-08,Credit Card,Delivered,Aurangabad
ORD00051,CUST0283,Wireless Headphones,Electronics,2,723,1446,2025-11-11,UPI,Shipped,Mumbai
ORD00052,CUST0133,Bluetooth Speaker,Electronics,1,904,904,2025-07-16,Debit Card,Delivered,Aurangabad
ORD00053,CUST0288,Running Shoes,Sports,2,1016,2032,2025-09-17,Credit Card,Delivered,Bengaluru
ORD00054,CUST0236,Jeans,Fashion,2,2465,4930,2025-02-23,Net Banking,Delivered,Delhi
ORD00055,CUST0252,USB Cable,Electronics,5,4481,22405,2025-07-11,Credit Card,Delivered,Mumbai
ORD00056,CUST0030,Sneakers,Fashion,3,2317,6951,2025-12-01,Credit Card,Processing,Aurangabad
ORD00057,CUST0034,Dumbbells,Sports,2,3331,6662,2025-03-10,Net Banking,Delivered,Nashik
ORD00058,CUST0195,Bluetooth Speaker,Electronics,4,4955,19820,2025-12-18,Debit Card,Delivered,Mumbai
ORD00059,CUST0001,Cricket Bat,Sports,3,4200,12600,2025-01-22,Net Banking,Delivered,Chennai
ORD00060,CUST0056,T-Shirt,Fashion,2,3444,6888,2025-08-27,Debit Card,Processing,Pune
ORD00061,CUST0127,Jacket,Fashion,1,924,924,2025-10-30,Credit Card,Shipped,Bengaluru
ORD00062,CUST0239,Handbag,Fashion,2,3046,6092,2025-08-26,Cash on Delivery,Delivered,Chennai
ORD00063,CUST0231,Bedsheet,Home & Kitchen,1,2325,2325,2025-09-30,Credit Card,Delivered,Delhi
ORD00064,CUST0111,USB Cable,Electronics,4,6668,26672,2025-05-26,Cash on Delivery,Delivered,Mumbai
ORD00065,CUST0229,Power Bank,Electronics,3,2972,8916,2025-11-11,UPI,Delivered,Latur
ORD00066,CUST0040,Dumbbells,Sports,3,542,1626,2025-01-31,Net Banking,Cancelled,Latur
ORD00067,CUST0062,Jacket,Fashion,4,303,1212,2025-04-04,UPI,Delivered,Bengaluru
ORD00068,CUST0225,Sneakers,Fashion,5,1968,9840,2025-07-31,Cash on Delivery,Delivered,Pune
ORD00069,CUST0261,Handbag,Fashion,3,2326,6978,2025-01-10,Credit Card,Cancelled,Bengaluru
ORD00070,CUST0094,Jacket,Fashion,1,1936,1936,2025-02-07,UPI,Processing,Mumbai
ORD00071,CUST0267,Football,Sports,1,3691,3691,2025-03-01,UPI,Shipped,Nashik
ORD00072,CUST0042,Running Shoes,,5,900,4500,2025-08-25,UPI,Delivered,Bengaluru
ORD00073,CUST0225,Storage Box,Home & Kitchen,1,2440,2440,2025-05-25,Credit Card,Delivered,Bengaluru
ORD00074,CUST0157,Bedsheet,Home & Kitchen,3,5817,17451,2025-08-19,UPI,Delivered,Aurangabad
ORD00075,CUST0118,Cookware Set,Home & Kitchen,4,4862,19448,2025-12-19,Net Banking,Delivered,Nagpur
ORD00076,CUST0243,Dumbbells,Sports,5,394,1970,2025-04-25,Cash on Delivery,Delivered,Aurangabad
ORD00077,CUST0218,Shampoo,Beauty,2,861,1722,2025-12-12,Net Banking,Delivered,Mumbai
ORD00078,CUST0127,Wireless Headphones,Electronics,4,3230,12920,2025-10-20,Credit Card,Shipped,Chennai
ORD00079,CUST0110,Bluetooth Speaker,Electronics,5,4033,20165,2025-04-11,Cash on Delivery,Delivered,Delhi
ORD00080,CUST0117,Bluetooth Speaker,Electronics,5,4002,20010,2025-11-09,Credit Card,Delivered,Nagpur
ORD00081,CUST0251,Smart Watch,Electronics,3,885,2655,2025-12-30,Debit Card,Delivered,Delhi
ORD00082,CUST0049,Perfume,Beauty,1,1152,1152,2025-06-05,UPI,Cancelled,Pune
ORD00083,CUST0215,Lipstick,Beauty,5,1942,9710,2025-05-21,Debit Card,Delivered,Nashik
ORD00084,CUST0175,Yoga Mat,Sports,5,1068,5340,2025-03-19,,Delivered,Pune
ORD00085,CUST0087,Sneakers,Fashion,4,3272,13088,2025-06-11,Cash on Delivery,Shipped,Hyderabad
ORD00086,CUST0249,Yoga Mat,Sports,1,627,627,2025-02-23,Net Banking,Delivered,Pune
ORD00087,CUST0223,Moisturizer,Beauty,3,601,1803,2025-07-01,Credit Card,Delivered,Hyderabad
ORD00088,CUST0197,USB Cable,Electronics,3,4195,12585,2025-01-02,Cash on Delivery,Delivered,Mumbai
ORD00089,CUST0280,Water Bottle,Home & Kitchen,4,5279,21116,2025-12-08,UPI,Processing,Bengaluru
ORD00090,CUST0201,Cookware Set,Home & Kitchen,2,4866,9732,2025-12-25,Debit Card,Delivered,Chennai
ORD00091,CUST0041,Handbag,Fashion,5,1104,5520,2025-02-11,Credit Card,Delivered,Delhi
ORD00092,CUST0268,Jacket,Fashion,5,2374,11870,2025-04-08,Net Banking,Delivered,Hyderabad
ORD00093,CUST0193,Handbag,Fashion,1,3328,3328,2025-11-06,Debit Card,Delivered,Nashik
ORD00094,CUST0232,Handbag,Fashion,5,1619,8095,2025-10-22,Debit Card,Cancelled,Hyderabad
ORD00095,CUST0154,Yoga Mat,Sports,2,781,1562,2025-07-20,Credit Card,Delivered,Delhi
ORD00096,CUST0291,Wireless Headphones,Electronics,1,560,560,2025-02-08,Debit Card,Delivered,Nashik
ORD00097,CUST0012,Jacket,Fashion,3,3415,10245,2025-02-26,Debit Card,Shipped,Aurangabad
ORD00098,CUST0266,USB Cable,Electronics,1,7109,7109,2025-10-15,UPI,Delivered,Aurangabad
ORD00099,CUST0223,Handbag,Fashion,1,3035,3035,2025-03-23,Cash on Delivery,Processing,Mumbai
ORD00100,CUST0171,Mixer Grinder,Home & Kitchen,1,2917,2917,2025-10-20,Credit Card,Shipped,Hyderabad
ORD00101,CUST0227,Power Bank,Electronics,5,7625,38125,2025-04-18,Credit Card,Cancelled,Hyderabad
ORD00102,CUST0245,Running Shoes,Sports,2,2332,4664,2025-11-14,Cash on Delivery,Delivered,Bengaluru
ORD00103,CUST0177,Face Wash,Beauty,2,489,978,2025-03-06,Debit Card,Delivered,Bengaluru
ORD00104,CUST0140,Jacket,Fashion,2,592,1184,2025-11-01,Debit Card,Cancelled,Aurangabad
ORD00105,CUST0107,Water Bottle,Home & Kitchen,3,5117,15351,2025-08-31,Credit Card,Delivered,Delhi
ORD00106,CUST0099,Smart Watch,Electronics,3,6507,19521,2025-01-09,Cash on Delivery,Cancelled,Chennai
ORD00107,CUST0120,Mixer Grinder,Home & Kitchen,2,252,504,2025-09-26,Net Banking,Delivered,Delhi
ORD00108,CUST0170,Perfume,Beauty,2,1137,2274,2025-08-14,UPI,Delivered,Delhi
ORD00109,CUST0090,Football,Sports,3,4272,12816,2025-06-25,Credit Card,Delivered,Aurangabad
ORD00110,CUST0056,Yoga Mat,Sports,2,3045,6090,2025-11-19,Credit Card,Delivered,Pune
ORD00111,CUST0181,Water Bottle,Home & Kitchen,1,1954,1954,2025-12-11,Credit Card,Delivered,Latur
ORD00112,CUST0158,Perfume,Beauty,3,1204,3612,2025-06-09,Credit Card,Shipped,Hyderabad
ORD00113,CUST0163,Handbag,Fashion,3,1556,4668,2025-12-10,Debit Card,Shipped,Chennai
ORD00114,CUST0242,Smart Watch,electronics,4,1071,4284,2025-07-15,Cash on Delivery,Delivered,Pune
ORD00115,CUST0270,Face Wash,Beauty,2,623,1246,2025-07-29,Net Banking,Delivered,Nashik
ORD00116,CUST0026,Perfume,Beauty,4,2276,9104,2025-02-27,Credit Card,Delivered,Nagpur
ORD00117,CUST0130,Bluetooth Speaker,Electronics,5,538,2690,2025-10-15,Cash on Delivery,Delivered,Nashik
ORD00118,CUST0058,Power Bank,Electronics,4,1488,5952,2025-09-14,Cash on Delivery,Shipped,Mumbai
ORD00119,CUST0072,Football,Sports,1,2555,2555,2025-01-27,Cash on Delivery,Delivered,Pune
ORD00120,CUST0046,Running Shoes,Sports,3,992,2976,2025-01-24,UPI,Delivered,Hyderabad
ORD00121,CUST0072,Power Bank,Electronics,4,2263,9052,2025-12-10,Debit Card,Cancelled,Pune
ORD00122,CUST0102,Cricket Bat,Sports,2,1028,2056,2025-10-16,UPI,Delivered,Latur
ORD00123,CUST0086,Cookware Set,Home & Kitchen,1,3367,3367,2025-11-06,Cash on Delivery,Delivered,Chennai
ORD00124,CUST0116,Jacket,Fashion,1,2572,2572,2025-03-18,Credit Card,Delivered,Mumbai
ORD00125,CUST0123,Jeans,Fashion,2,3341,6682,2025-11-01,UPI,Processing,Hyderabad
ORD00126,CUST0007,Smart Watch,Electronics,4,5883,23532,2025-09-08,Debit Card,Processing,Nagpur
ORD00127,CUST0025,Jeans,Fashion,3,1108,3324,2025-01-12,Net Banking,Delivered,Nashik
ORD00128,CUST0082,Perfume,Beauty,5,2485,12425,2025-10-27,Credit Card,Delivered,Aurangabad
ORD00129,CUST0207,Bluetooth Speaker,Electronics,3,3471,10413,2025-04-03,UPI,Processing,Pune
ORD00130,CUST0152,Cricket Bat,Sports,5,3753,18765,2025-01-20,Credit Card,Processing,Delhi
ORD00131,CUST0295,Moisturizer,Beauty,5,1591,7955,2025-09-19,Credit Card,Cancelled,Chennai
ORD00132,CUST0282,Dumbbells,Sports,3,3258,9774,2025-08-13,Cash on Delivery,Processing,Hyderabad
ORD00133,CUST0111,Jacket,Fashion,2,2640,5280,2025-11-12,UPI,Delivered,Hyderabad
ORD00134,CUST0287,Bluetooth Speaker,Electronics,1,2540,2540,2025-06-13,Debit Card,Processing,Latur
ORD00135,CUST0284,Handbag,Fashion,2,1161,2322,2025-03-05,UPI,Delivered,Aurangabad
ORD00136,CUST0108,Perfume,Beauty,1,1997,1997,2025-07-26,Debit Card,Delivered,Mumbai
ORD00137,CUST0245,T-Shirt,Fashion,5,581,2905,2025-07-17,Debit Card,Delivered,Pune
ORD00138,CUST0285,Water Bottle,Home & Kitchen,2,2539,5078,2025-08-05,UPI,Delivered,Bengaluru
ORD00139,CUST0008,Mixer Grinder,Home & Kitchen,4,4653,18612,2025-08-22,Credit Card,Delivered,Hyderabad
ORD00140,CUST0145,Running Shoes,Sports,2,3785,7570,2025-04-24,Credit Card,Processing,Bengaluru
ORD00141,CUST0287,Power Bank,Electronics,3,2363,7089,2025-05-27,Net Banking,Delivered,Delhi
ORD00142,CUST0089,Jacket,Fashion,2,1003,2006,2025-06-18,Net Banking,Shipped,Delhi
ORD00143,CUST0279,Water Bottle,Home & Kitchen,2,1917,3834,2025-03-23,Debit Card,Processing,Pune
ORD00144,CUST0093,USB Cable,Electronics,1,3647,3647,2025-11-12,UPI,Delivered,Pune
ORD00145,CUST0003,Water Bottle,Home & Kitchen,2,3265,6530,2025-09-22,Net Banking,Processing,Mumbai
ORD00146,CUST0300,Perfume,Beauty,5,1306,6530,2025-10-20,Cash on Delivery,Delivered,Hyderabad
ORD00147,CUST0117,Jacket,Fashion,3,1304,3912,2025-12-02,Cash on Delivery,Cancelled,Nagpur
ORD00148,CUST0027,Bedsheet,Home & Kitchen,4,4815,19260,2025-02-21,Net Banking,Shipped,Nashik
ORD00149,CUST0108,Jacket,Fashion,2,2936,5872,2025-09-20,Credit Card,Shipped,Hyderabad
ORD00150,CUST0172,Smart Watch,Electronics,5,6941,34705,2025-09-20,Net Banking,Delivered,Hyderabad
ORD00151,CUST0125,Dumbbells,Sports,1,2725,2725,2025-05-01,Credit Card,Processing,Pune
ORD00152,CUST0069,Sneakers,Fashion,5,349,1745,2025-08-30,UPI,Shipped,Mumbai
ORD00153,CUST0078,USB Cable,Electronics,1,1161,1161,2025-05-18,Net Banking,Delivered,Delhi
ORD00154,CUST0019,Sneakers,Fashion,5,1877,9385,2025-07-07,Cash on Delivery,Shipped,Chennai
ORD00155,CUST0196,Dumbbells,Sports,5,2214,11070,2025-03-11,Net Banking,Delivered,Mumbai
ORD00156,CUST0300,Perfume,Beauty,4,1885,7540,2025-03-08,Net Banking,Delivered,Latur
ORD00157,CUST0150,Jacket,Fashion,2,1532,3064,2025-09-21,Cash on Delivery,Delivered,Aurangabad
ORD00158,CUST0145,Running Shoes,Sports,1,2402,2402,2025-01-12,Cash on Delivery,Cancelled,Nashik
ORD00159,CUST0121,Dumbbells,Sports,3,4243,12729,2025-09-05,Net Banking,Delivered,Latur
ORD00160,CUST0258,T-Shirt,Fashion,5,2807,14035,2025-12-27,Debit Card,Delivered,Pune
ORD00161,CUST0101,Bedsheet,Home & Kitchen,4,3517,14068,2025-05-23,Cash on Delivery,Delivered,Pune
ORD00162,CUST0066,Jeans,Fashion,5,1993,9965,2025-06-12,Debit Card,Delivered,Mumbai
ORD00163,CUST0270,Moisturizer,Beauty,2,2450,4900,2025-04-05,UPI,Delivered,Latur
ORD00164,CUST0079,Dumbbells,Sports,3,2829,8487,2025-01-25,Cash on Delivery,Delivered,Nagpur
ORD00165,CUST0130,Handbag,Fashion,4,689,2756,2025-09-11,Cash on Delivery,Delivered,Nashik
ORD00166,CUST0083,Football,Sports,2,2250,4500,2025-02-25,UPI,Delivered,Delhi
ORD00167,CUST0221,Shampoo,Beauty,4,1725,6900,2025-12-25,Cash on Delivery,Delivered,Latur
ORD00168,CUST0229,Handbag,Fashion,4,1067,4268,2025-01-14,Net Banking,Shipped,Hyderabad
ORD00169,CUST0013,Sneakers,Fashion,5,1041,5205,2025-03-06,Net Banking,Shipped,Aurangabad
ORD00170,CUST0191,Cricket Bat,Sports,5,3342,16710,2025-07-07,Net Banking,Processing,Hyderabad
ORD00171,CUST0021,Cricket Bat,Sports,4,4104,16416,2025-02-11,Credit Card,Processing,Delhi
ORD00172,CUST0242,Wireless Headphones,Electronics,1,6772,6772,2025-01-10,Credit Card,Delivered,Bengaluru
ORD00173,CUST0173,Dumbbells,Sports,3,378,1134,2025-12-09,Debit Card,Delivered,Pune
ORD00174,CUST0133,Running Shoes,Sports,1,3011,3011,2025-01-17,Cash on Delivery,Shipped,Chennai
ORD00175,CUST0261,Shampoo,Beauty,4,712,2848,2025-09-18,Credit Card,Delivered,Pune
ORD00176,CUST0169,Wireless Headphones,Electronics,2,7106,14212,2025-04-15,UPI,Delivered,Mumbai
ORD00177,CUST0181,Handbag,Fashion,-4,2182,8728,2025-09-26,Cash on Delivery,Delivered,Chennai
ORD00178,CUST0213,Smart Watch,Electronics,1,6284,6284,2025-10-05,Cash on Delivery,Delivered,Pune
ORD00179,CUST0149,Football,Sports,2,1556,3112,2025-01-18,Net Banking,Delivered,Bengaluru
ORD00180,CUST0050,Shampoo,Beauty,3,919,2757,2025-10-10,Debit Card,Delivered,Latur
ORD00181,CUST0023,Storage Box,Home & Kitchen,5,764,3820,2025-01-19,Net Banking,Delivered,Delhi
ORD00182,CUST0224,Cricket Bat,Sports,2,748,1496,2025-04-14,Credit Card,Delivered,Delhi
ORD00183,CUST0234,Handbag,Fashion,3,3437,10311,2025-03-27,Credit Card,Shipped,Pune
ORD00184,CUST0101,Smart Watch,Electronics,5,7687,38435,2025-07-30,Credit Card,Delivered,Nagpur
ORD00185,CUST0202,Moisturizer,Beauty,3,971,2913,2025-12-25,Cash on Delivery,Delivered,Nagpur
ORD00186,CUST0188,Power Bank,Electronics,5,5121,25605,2025-06-08,Cash on Delivery,Delivered,Nashik
ORD00187,CUST0228,Dumbbells,Sports,2,2366,4732,2025-06-22,UPI,Delivered,Mumbai
ORD00188,CUST0161,Face Wash,Beauty,3,1120,3360,2025-04-28,UPI,Delivered,Nagpur
ORD00189,CUST0138,Water Bottle,Home & Kitchen,3,3721,11163,2025-03-02,Credit Card,Delivered,Pune
ORD00190,CUST0069,Yoga Mat,Sports,3,846,2538,2025-10-29,Net Banking,Delivered,Nagpur
ORD00191,CUST0231,USB Cable,Electronics,2,0,2406,2025-05-06,Credit Card,Processing,Bengaluru
ORD00192,CUST0106,Power Bank,Electronics,1,5801,5801,2025-08-01,Cash on Delivery,Delivered,Hyderabad
ORD00193,CUST0084,Moisturizer,Beauty,2,990,1980,2025-04-17,Credit Card,Processing,Delhi
ORD00194,CUST0203,Dumbbells,Sports,2,971,1942,2025-09-05,Cash on Delivery,Delivered,Hyderabad
ORD00195,CUST0082,Cricket Bat,Sports,2,2661,5322,2025-01-21,Net Banking,Delivered,Chennai
ORD00196,CUST0178,Yoga Mat,Sports,3,2231,6693,2025-06-10,Net Banking,Delivered,Chennai
ORD00197,CUST0017,Wireless Headphones,Electronics,1,2187,2187,2025-06-26,Credit Card,Delivered,Latur
ORD00198,CUST0167,T-Shirt,Fashion,2,1837,3674,2025-05-05,Cash on Delivery,Delivered,Bengaluru
ORD00199,CUST0277,Shampoo,Beauty,2,2004,4008,2025-02-01,Cash on Delivery,Delivered,Nagpur
ORD00200,CUST0066,Perfume,Beauty,4,2255,9020,2025-01-26,UPI,Delivered,Nashik
ORD00201,CUST0197,Face Wash,Beauty,2,1964,3928,2025-06-27,Debit Card,Delivered,Chennai
ORD00202,CUST0210,Lipstick,Beauty,1,708,708,2025-04-14,Credit Card,Delivered,Latur
ORD00203,CUST0220,Moisturizer,Beauty,3,1799,5397,2025-02-09,UPI,Delivered,Bengaluru
ORD00204,CUST0012,Dumbbells,Sports,3,2891,8673,2025-05-17,Debit Card,Delivered,Pune
ORD00205,CUST0059,Running Shoes,Sports,5,1425,7125,2025-08-11,Debit Card,Delivered,Nashik
ORD00206,CUST0134,Power Bank,Electronics,1,2439,2439,2025-09-22,Debit Card,Shipped,Delhi
ORD00207,CUST0286,Mixer Grinder,Home & Kitchen,4,3022,12088,2025-03-17,Credit Card,Delivered,Bengaluru
ORD00208,CUST0075,T-Shirt,Fashion,5,2015,10075,2025-11-10,UPI,Delivered,Latur
ORD00209,CUST0066,USB Cable,Electronics,4,2174,8696,2025-09-29,Debit Card,Delivered,Hyderabad
ORD00210,CUST0067,Power Bank,Electronics,4,6644,26576,2025-07-10,Cash on Delivery,Processing,Latur
ORD00211,CUST0252,Football,Sports,1,759,759,2025-02-08,Net Banking,Processing,Nashik
ORD00212,CUST0100,Bluetooth Speaker,Electronics,3,2954,8862,2025-05-22,Net Banking,Delivered,
ORD00213,CUST0215,Bedsheet,Home & Kitchen,4,673,2692,2025-04-12,UPI,Delivered,Nashik
ORD00214,CUST0120,Mixer Grinder,Home & Kitchen,3,2470,7410,2025-10-02,Net Banking,Delivered,Bengaluru
ORD00215,CUST0222,Wireless Headphones,Electronics,1,3947,3947,2025-11-30,UPI,Delivered,Nagpur
ORD00216,CUST0158,Moisturizer,Beauty,1,1428,1428,2025-03-03,Cash on Delivery,Delivered,Mumbai
ORD00217,CUST0035,Running Shoes,Sports,5,2344,11720,2025-07-20,UPI,Delivered,Pune
ORD00218,CUST0093,Dumbbells,Sports,4,2373,9492,2025-11-04,Net Banking,Delivered,Nagpur
ORD00219,CUST0194,USB Cable,Electronics,3,4727,14181,2025-12-08,Credit Card,Delivered,Delhi
ORD00220,CUST0136,Wireless Headphones,Electronics,2,2436,4872,2025-10-10,Debit Card,Delivered,Pune
ORD00221,CUST0177,USB Cable,Electronics,5,3300,16500,2025-08-25,Net Banking,Delivered,Pune
ORD00222,CUST0192,Bluetooth Speaker,Electronics,4,5487,21948,2025-09-02,Credit Card,Delivered,Delhi
ORD00223,CUST0192,USB Cable,Electronics,1,5148,5148,2025-02-08,Debit Card,Delivered,Pune
ORD00224,CUST0240,Shampoo,Beauty,4,2186,8744,2025-09-25,UPI,Shipped,Hyderabad
ORD00225,CUST0177,Moisturizer,Beauty,5,1516,7580,2025-08-03,Cash on Delivery,Delivered,Mumbai
ORD00226,CUST0243,Face Wash,Beauty,4,0,4340,2025-11-28,UPI,Cancelled,Delhi
ORD00227,CUST0118,Jeans,Fashion,3,2296,6888,2025-02-20,UPI,Delivered,Nashik
ORD00228,CUST0258,Shampoo,Beauty,5,2085,10425,2025-10-23,UPI,Delivered,Nashik
ORD00229,CUST0127,Cookware Set,Home & Kitchen,5,5726,28630,2025-02-18,UPI,Shipped,Delhi
ORD00230,CUST0030,Perfume,Beauty,3,524,1572,2025-05-02,Cash on Delivery,Delivered,Nashik
ORD00231,CUST0048,Water Bottle,Home & Kitchen,4,3384,13536,2025-03-16,Credit Card,Delivered,Latur
ORD00232,CUST0193,Lipstick,Beauty,1,156,156,2025-02-25,Cash on Delivery,Delivered,Chennai
ORD00233,CUST0294,Moisturizer,Beauty,4,1652,6608,2025-05-06,Net Banking,Delivered,Nagpur
ORD00234,CUST0075,Face Wash,Beauty,4,1549,6196,2025-03-08,Net Banking,Delivered,Latur
ORD00235,CUST0030,Bedsheet,Home & Kitchen,2,2559,5118,2025-09-02,Credit Card,Processing,Aurangabad
ORD00236,CUST0077,Jacket,Fashion,5,3458,17290,2025-10-12,Debit Card,Cancelled,Nagpur
ORD00237,CUST0109,USB Cable,Electronics,4,3640,14560,2025-02-11,Debit Card,Delivered,Aurangabad
ORD00238,CUST0280,Perfume,Beauty,4,1672,6688,2025-04-02,Net Banking,Delivered,Mumbai
ORD00239,CUST0152,Water Bottle,Home & Kitchen,3,3420,10260,2025-09-06,Credit Card,Delivered,Hyderabad
ORD00240,CUST0091,Dumbbells,Sports,5,4030,20150,2025-03-05,,Delivered,Latur
ORD00241,CUST0020,Dumbbells,Sports,5,1276,6380,2025-07-03,UPI,Processing,Latur
ORD00242,CUST0203,Bluetooth Speaker,Electronics,3,5261,15783,2025-08-04,UPI,Delivered,Pune
ORD00243,CUST0163,Storage Box,Home & Kitchen,3,2220,6660,2025-09-17,UPI,Delivered,Pune
ORD00244,CUST0287,Wireless Headphones,Electronics,1,4435,4435,2025-07-08,Credit Card,Delivered,Latur
ORD00245,CUST0194,Bedsheet,Home & Kitchen,2,4471,8942,2025-07-23,UPI,Delivered,Bengaluru
ORD00246,CUST0065,Bluetooth Speaker,Electronics,3,2811,8433,2025-03-08,Cash on Delivery,Shipped,Pune
ORD00247,CUST0194,Running Shoes,Sports,5,4047,20235,2025-02-04,UPI,Shipped,Nagpur
ORD00248,CUST0083,Bedsheet,Home & Kitchen,3,4294,12882,2025-03-02,Debit Card,Processing,Mumbai
ORD00249,CUST0295,Smart Watch,Electronics,2,7855,15710,2025-10-17,Debit Card,Shipped,Bengaluru
ORD00250,CUST0281,Storage Box,Home & Kitchen,5,686,3430,2025-11-09,UPI,Delivered,Chennai
